country_code,year,indicator,value
CHN,2024,gdp_per_capita_usd,13303.1481543868
CMR,2024,gdp_per_capita_usd,1762.3683508844
COD,2024,gdp_per_capita_usd,647.435704836002
COG,2024,gdp_per_capita_usd,2482.24894743495
DEU,2024,gdp_per_capita_usd,55800.2194549412
EUU,2024,gdp_per_capita_usd,43145.1566930223
FRA,2024,gdp_per_capita_usd,46150.4876861593
GAB,2024,gdp_per_capita_usd,8218.76307061848
GBR,2024,gdp_per_capita_usd,52636.7865943853
GNQ,2024,gdp_per_capita_usd,6745.40013244916
IDN,2024,gdp_per_capita_usd,4925.43048751861
IND,2024,gdp_per_capita_usd,2696.66389984463
ITA,2024,gdp_per_capita_usd,40226.0472416173
JPN,2024,gdp_per_capita_usd,32475.8924992191
KOR,2024,gdp_per_capita_usd,
MEX,2024,gdp_per_capita_usd,14157.9445835849
PAK,2024,gdp_per_capita_usd,1484.74985864775
PHL,2024,gdp_per_capita_usd,3984.8315387656
RUS,2024,gdp_per_capita_usd,14889.0185546875
SAU,2024,gdp_per_capita_usd,35057.2252306969
TCD,2024,gdp_per_capita_usd,1016.08880662712
TUR,2024,gdp_per_capita_usd,15473.2872636856
USA,2024,gdp_per_capita_usd,85809.9003846356
ZAF,2024,gdp_per_capita_usd,6253.37158194543
